Cast Vote Record	Precinct	Payson City Council 1st Choice Payson City Council	Payson City Council 2nd Choice Payson City Council	Payson City Council 3rd Choice Payson City Council	Payson City Council 4th Choice Payson City Council	Payson City Council 5th Choice Payson City Council
45881	PA07	DOUG WELTON	undervote	undervote	undervote	undervote
45882	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45883	PA05	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45884	PA01	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
45885	PA07	DOUG WELTON	undervote	undervote	undervote	undervote
45886	PA07	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
45887	PA03	LINDA CARTER	BRIAN V. HULET	undervote	undervote	undervote
45888	PA03	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
45889	PA01	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
45890	PA03	LINDA CARTER	BRIAN V. HULET	undervote	undervote	undervote
45891	PA07	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45892	PA03	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM
45893	PA01	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
45894	PA07	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON
45895	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
45896	PA01	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL
45897	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45898	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45899	PA02	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
45900	PA04	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
45901	PA01	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL
45902	PA01	DOUG WELTON	undervote	undervote	undervote	undervote
45903	PA01	DOUG WELTON	undervote	undervote	undervote	undervote
45904	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
45905	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45906	PA01	DOUG WELTON	undervote	undervote	undervote	undervote
45907	PA01	DOUG WELTON	undervote	undervote	undervote	undervote
45908	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
45909	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45910	PA08	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
45911	PA04	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45912	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45913	PA04	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	undervote	undervote
45914	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
45915	PA03	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	undervote	undervote
45916	PA06	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
45917	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
45918	PA06	DOUG WELTON	undervote	undervote	undervote	undervote
45919	PA01	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
45920	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
45921	PA03	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
45922	PA07	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
45923	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45924	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45925	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45926	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45927	PA02	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
45928	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45929	PA01	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
45930	PA03	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
45931	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45932	PA07	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
45933	PA07	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
45934	PA01	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
45935	PA02	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
45936	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45937	PA02	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
45938	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
45939	PA02	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
45940	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
45941	PA02	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
45942	PA08	DOUG WELTON	undervote	undervote	undervote	undervote
45943	PA06	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET
45944	PA03	LINDA CARTER	undervote	undervote	undervote	undervote
45945	PA06	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET
45946	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45947	PA08	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
45948	PA03	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
45949	PA03	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET
45950	PA03	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	undervote	undervote
45951	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45952	PA03	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
45953	PA04	LINDA CARTER	undervote	undervote	undervote	undervote
45954	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45955	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45956	PA01	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
45957	PA02	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
45958	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
45959	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
45960	PA03	BRIAN V. HULET	LINDA CARTER	undervote	undervote	undervote
45961	PA03	CARY KENNETH STOCKWELL	undervote	undervote	undervote	undervote
45962	PA07	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
45963	PA08	LINDA CARTER	undervote	undervote	undervote	undervote
45964	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45965	PA07	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote	undervote
45966	PA07	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM
45967	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
45968	PA03	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER
45969	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
45970	PA03	DOUG WELTON	undervote	undervote	undervote	undervote
45971	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
45972	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
45973	PA02	DOUG WELTON	undervote	undervote	undervote	undervote
45974	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote
45975	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45976	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
45977	PA04	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote
45978	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45979	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45980	PA04	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote
45981	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
45982	PA02	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER
45983	PA08	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
45984	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45985	PA08	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
45986	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45987	PA08	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
45988	PA04	BRIAN V. HULET	overvote	undervote	undervote	undervote
45989	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
45990	PA04	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
45991	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45992	PA04	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	undervote
45993	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	undervote	undervote
45994	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45995	PA07	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
45996	PA07	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
45997	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45998	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
45999	PA08	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	undervote
46000	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
46001	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46002	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
46003	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	undervote	undervote
46004	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
46005	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46006	PA02	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
46007	PA01	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
46008	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
46009	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
46010	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
46011	PA02	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
46012	PA02	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
46013	PA04	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
46014	PA04	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER
46015	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	undervote	undervote
46016	PA03	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
46017	PA03	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
46018	PA03	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM
46019	PA04	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
46020	PA07	BRIAN V. HULET	LINDA CARTER	undervote	undervote	undervote
46021	PA01	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
46022	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
46023	PA07	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
46024	PA03	BRIAN V. HULET	LINDA CARTER	undervote	undervote	undervote
46025	PA07	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
46026	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
46027	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
46028	PA03	LINDA CARTER	undervote	undervote	undervote	undervote
46029	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46030	PA03	LINDA CARTER	undervote	undervote	undervote	undervote
46031	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
46032	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46033	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46034	PA03	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
46035	PA03	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
46036	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46037	PA08	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
46038	PA03	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON
46039	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	CARY KENNETH STOCKWELL
46040	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
46041	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46042	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
46043	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46044	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
46045	PA04	LINDA CARTER	DOUG WELTON	undervote	undervote	undervote
46046	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46047	PA02	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
46048	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote	undervote
46049	PA01	SCOTT PINKHAM	undervote	undervote	undervote	undervote
46050	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote	undervote
46051	PA03	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
46052	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote	undervote
46053	PA01	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
46054	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
46055	PA07	overvote	undervote	undervote	undervote	undervote
46056	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
46057	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote	undervote
49461	PA04	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
49462	PA04	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
49463	PA08	BRIAN V. HULET	undervote	undervote	undervote	undervote
49464	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49465	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49466	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49467	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49468	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49469	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	undervote
49470	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49471	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49472	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49473	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
49474	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49475	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49476	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
49477	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
49478	PA03	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
49479	PA04	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM
49480	PA04	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
49481	PA07	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
49482	PA04	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49483	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49484	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49485	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
49486	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
49487	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
49488	PA08	BRIAN V. HULET	undervote	undervote	undervote	undervote
49489	PA01	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
49490	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49491	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49492	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49493	PA05	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	CARY KENNETH STOCKWELL
49494	PA02	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
49495	PA04	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote
49496	PA07	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
49497	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49498	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON
49499	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON
49500	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON
49501	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON
49502	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49503	PA03	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
49504	PA03	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
49505	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
49506	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
49507	PA07	CARY KENNETH STOCKWELL	undervote	undervote	undervote	undervote
49508	PA01	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	undervote	undervote
49509	PA05	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49510	PA01	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
49511	PA04	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
49512	PA02	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
49513	PA02	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
49514	PA02	SCOTT PINKHAM	CARY KENNETH STOCKWELL	undervote	undervote	undervote
49515	PA02	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
49516	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
49517	PA02	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
49518	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
49519	PA02	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET
49520	PA05	DOUG WELTON	LINDA CARTER	DOUG WELTON	LINDA CARTER	DOUG WELTON
49521	PA04	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	undervote	undervote
49522	PA02	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
49523	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
49524	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
