Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
35224	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
35225	VI01	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	overvote
35226	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
35227	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35228	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON
35229	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
35230	VI01	KEITH KUDER	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS
35231	VI01	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE
35232	VI01	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	undervote	undervote	undervote
35233	VI01	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote
35234	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
35235	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
35236	VI01	CRISTY WELSH	KEITH KUDER	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE
35237	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
35238	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
35239	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
35240	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS
35241	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
35242	VI01	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	CRISTY WELSH
35243	VI02	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
35244	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS
35245	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
35246	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
35247	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	undervote	undervote	undervote	undervote	undervote
35248	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote	undervote	undervote	CRISTY WELSH
35249	VI01	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote
58450	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58451	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON
58452	VI01	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
58453	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
58454	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	undervote	undervote	undervote	undervote	undervote
58455	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	CRISTY WELSH
58456	VI01	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	DAVID LAURET
58457	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
58458	VI01	G. TYCE FLAKE	DAVID LAURET	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE
58459	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ
58460	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
58461	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
58462	VI01	CRISTY WELSH	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET
58463	VI01	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
58464	VI01	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
58465	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
58466	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
58467	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER
58468	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON
58469	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
58470	VI01	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON
58471	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
58472	VI02	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS
58473	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
58474	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
58475	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
58476	VI02	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON
58477	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
58478	VI01	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	undervote	undervote	undervote	undervote
58479	VI01	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote	undervote	undervote
58480	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
58481	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
58482	VI01S	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	undervote	undervote	undervote
58483	VI01S	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	undervote	undervote	undervote
58484	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
58485	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH
58486	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	undervote	undervote	undervote
58487	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
58488	VI02	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	KEITH KUDER
58489	VI01	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
58490	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
58491	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ
58492	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON
58493	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
58494	VI01	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
58495	VI01	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
58496	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
58497	VI01	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
58498	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
58499	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
58500	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
58501	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58502	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
58503	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
58504	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
58505	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
58506	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote
58507	VI01S2	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
58508	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
58509	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
58510	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
58511	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
58512	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
58513	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH
58514	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH
58515	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
58516	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS
58517	VI01S	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58518	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
58519	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
58520	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
58521	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58522	VI01	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	undervote
58523	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote
58524	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE
58525	VI02	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
58526	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
58527	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER
58528	VI01	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
58529	VI01	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE
58530	VI01	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE
58531	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote
58532	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
58533	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
58534	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	undervote
58535	VI01	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58536	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
58537	VI01S2	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58538	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
58539	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	DAVID LAURET	undervote	undervote	undervote
58540	VI01	TAY GUDMUNDSON	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58541	VI02	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER
58542	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	undervote	undervote	undervote
58543	VI01	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS
58544	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
58545	VI01	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER
58546	VI01	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote
58547	VI01	KEITH KUDER	DAVID LAURET	ANTHONY JENKINS	undervote	undervote	undervote	undervote
58548	VI01	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
58549	VI01	KEITH KUDER	KEITH KUDER	KEITH KUDER	KEITH KUDER	KEITH KUDER	KEITH KUDER	KEITH KUDER
58550	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE	undervote	undervote
58551	VI02	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
58552	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
58553	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
58554	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58555	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
58556	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
58557	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote	undervote
58558	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
58559	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
58560	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58561	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
58562	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON
58563	VI01	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
58564	VI01S	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER
58565	VI01	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58566	VI01	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58567	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	undervote	undervote
58568	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote
58569	VI01	CRISTY WELSH	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	undervote	undervote	undervote
58570	VI01	CRISTY WELSH	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	undervote	undervote	undervote
58571	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
58572	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
58573	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58574	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS
58575	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	TAY GUDMUNDSON	overvote	KEITH KUDER
58576	VI01	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
58577	VI01S	ANTHONY JENKINS	KEITH KUDER	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote
58578	VI01S	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
58579	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
58580	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote
58581	VI02	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58582	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS
58583	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
58584	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
58585	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
58586	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58587	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET
58588	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58589	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
58590	VI02	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
58591	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
